name,offset,msb,lsb,functional subset,benign value,temp value,mcuctrl_value,mcuctrl_addr,mcuctrl_lsb,mcuctrl_width,Descr
ACWARMUP_init_value,5,14,13,ANA_CLK,0x0,,,,,,
ADCPWR0_init_value,11,7,0,ADC INIT,0x96,,0x96,0x108,0,8,ADC clk count for power switch
ADCPWR1_init_value,11,15,8,ADC INIT,0x4B,,0x48,0x108,8,8,ADC clk count for IP Enable
ADCPWRON_CV_value,7,26,26,ADC INIT,0x0,,,,,,Customer Visible
ADCREFTRIM_init_value,11,28,24,ADC TRIM,0x0,,,,,,ADC reference voltage trim
ADCTSBGSWE_CV_value,1,12,12,ADC_TS_BG,0x0,,,,,,Customer Visible
ADCTSBGSWE_init_value,5,23,23,ADC_TS_BG,0x0,,,,,,Software enable for overriding HW control
ANALOG_ctrl_0,11,23,16,ANA_GENERAL,0x8,,,,,,spare shadow bits for analog
BCORETONSEL_init_value,1,18,15,ANA BUCK,0xc,,,,,,Analog Trim (set during mfg)
BGTRIM_init_value,5,9,6,ANA TEMPSCTRL,0x0,,,,,,Analog Trim (set during mfg)
BMEMTONSEL_init_value,1,22,19,ANA BUCK,0xd,,,,,,Analog Trim (set during mfg)
BODLRDE_init_value,2,27,27,DIG BOD,0x0,,,,,,Disable Brownout Low (1.8V) Reset
BUCK_CV_value,0,31,31,ANA BUCK,0x0,,,,,,Customer Visible
BUCK2_CV_value,1,25,25,ANA BUCK,0x0,,,,,,Customer Visible
BUCKLFCLKSEL_init_value,8,31,30,ANA BUCK,0x0,,,,,,
BUCKSWE_init_value,1,24,24,ANA BUCK,0x0,,,,,,Software enable for overriding HW control
BYPBUCKCORE_init_value,1,23,23,ANA BUCK,0x0,,,,,,
BYPBUCKMEM_init_value,1,28,28,ANA BUCK,0x0,,,,,,
BYPCMPRXTAL_init_value,5,27,27,XTALCTRL,0x0,,,,,,
CALRC_init_value,6,28,11,CLK INIT,0x0,,,,,,
CALXT_init_value,6,10,0,XT CLK INIT,0x0,,,,,,
CCRG_CV_value,0,27,27,ANA CCRG,0x0,,,,,,Customer Visible
